This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"MA-BE-3","STOCKBRIDGE",-73.3195,42.2898,253,"COCORAHS","127911"
"TX-LO-13","THREE RIVERS",-98.1180,28.5804,98,"COCORAHS","127925"
"AZ-PM-132","TUCSON 8.5 N",-110.8027,32.2918,796,"COCORAHS","127965"
"AZ-PM-135","TUCSON 7.3 W",-111.0296,32.2709,703,"COCORAHS","127982"
"NV-CK-34","HENDERSON 2.",-114.9734,36.0065,684,"COCORAHS","127994"
"NJ-AT-13","EGG HARBOR T",-74.6248,39.3929,16,"COCORAHS","128004"
"TX-WO-10","ELMENDORF 5.",-98.2456,29.2829,183,"COCORAHS","128009"
"AZ-CH-27","SIERRA VISTA",-110.2267,31.4661,1390,"COCORAHS","128034"
"MN-AA-5","EAST BETHEL",-93.1553,45.3846,280,"COCORAHS","128038"
"UT-BE-8","GARLAND 1.0",-112.1482,41.7267,1319,"COCORAHS","128060"
"NV-WH-19","RENO 9.0 W",-119.9935,39.5184,1494,"COCORAHS","128079"
"AZ-PM-139","ORO VALLEY 2",-110.9758,32.4166,835,"COCORAHS","128084"
"AZ-PM-137","ORO VALLEY 5",-110.9580,32.4745,914,"COCORAHS","128095"
"WI-PK-4","DRESSER 6.1",-92.5208,45.3244,322,"COCORAHS","128102"
"CA-SZ-24","FELTON 4.5 N",-122.0468,37.1051,255,"COCORAHS","128105"
"NJ-SL-2","WOODSTOWN 0.",-75.3338,39.6561,14,"COCORAHS","128113"
"IL-MCH-43","ALGONQUIN 0.",-88.2993,42.1739,254,"COCORAHS","128121"
"MN-DK-11","ROSEMOUNT 3.",-93.1300,44.7608,299,"COCORAHS","128138"
"MO-BS-4","APPLETON CIT",-94.0507,38.2129,279,"COCORAHS","128157"
"PA-WT-9","GREENSBURG 0",-79.5543,40.3136,341,"COCORAHS","128171"
"WA-SJ-28","LOPEZ ISLAND",-122.8874,48.5354,37,"COCORAHS","128191"
"MA-MD-11","CAMBRIDGE 0.",-71.1253,42.3877,15,"COCORAHS","128211"
"NJ-MS-40","CHATHAM 0.6",-74.3908,40.7481,59,"COCORAHS","128215"
"AZ-MR-287","SURPRISE 10.",-112.1904,33.7375,458,"COCORAHS","128220"
"WA-SG-1","ANACORTES 4.",-122.6142,48.4200,12,"COCORAHS","128222"
"OH-HM-13","CINCINNATI 8",-84.5790,39.2500,253,"COCORAHS","128233"
"AZ-MR-288","MESA 13.4 E",-111.5885,33.4311,507,"COCORAHS","128239"
"NC-FR-7","LEWISVILLE 0",-80.4112,36.0922,280,"COCORAHS","128262"
"CA-YL-9","DAVIS 2.7 W",-121.7855,38.5523,17,"COCORAHS","128276"
"AZ-MR-289","GLENDALE 12.",-112.1721,33.7062,429,"COCORAHS","128277"
"AZ-PM-141","ORO VALLEY 3",-110.9872,32.4289,867,"COCORAHS","128282"
"CO-JF-343","WHEAT RIDGE",-105.1142,39.7667,1657,"COCORAHS","128307"
"MS-PN-1","BATESVILLE 2",-89.9269,34.2889,98,"COCORAHS","128326"
"IL-WL-58","PLAINFIELD 3",-88.1490,41.6040,189,"COCORAHS","128340"
"MS-WR-7","VICKSBURG 12",-90.9074,32.1541,52,"COCORAHS","128345"
"IA-DM-7","BURLINGTON 6",-91.1897,40.7296,169,"COCORAHS","128354"
"MS-NS-4","PHILADELPHIA",-89.0178,32.7861,149,"COCORAHS","128364"
"MS-MD-7","MADISON 5.6",-90.1935,32.4902,101,"COCORAHS","128367"
"MN-NR-1","TWIN VALLEY",-96.2577,47.2602,333,"COCORAHS","128378"
"IL-WL-61","CHANNAHON 0.",-88.2123,41.4450,164,"COCORAHS","128390"
"IL-SG-34","SPRINGFIELD",-89.7229,39.7735,186,"COCORAHS","128421"
"MS-HR-19","PASS CHRISTI",-89.2503,30.3911,16,"COCORAHS","128438"
"WV-CB-8","HUNTINGTON 0",-82.4443,38.4082,173,"COCORAHS","128450"
"MS-PK-2","JAYESS 5.6 S",-90.2616,31.3006,131,"COCORAHS","128460"
"OH-AS-2","ASHLAND 3.9",-82.3763,40.8326,360,"COCORAHS","128489"
"IN-SJ-35","GRANGER 2.0",-86.1015,41.7381,241,"COCORAHS","128493"
"KY-AN-3","LAWRENCEBURG",-84.8904,37.9597,251,"COCORAHS","128507"
"KY-OL-6","LA GRANGE 3.",-85.4215,38.3583,215,"COCORAHS","128510"
"UT-SL-83","SANDY 1.1 NN",-111.8491,40.5857,1437,"COCORAHS","128515"
"GA-JC-4","BRASELTON 3.",-83.7522,34.1331,250,"COCORAHS","128522"
"NY-ER-77","COLDEN 2.4 E",-78.6106,42.6509,503,"COCORAHS","128545"
"WY-LM-106","CHEYENNE 9.9",-104.6039,41.1667,1796,"COCORAHS","128549"
"WI-RC-3","RACINE 2.3 W",-87.8457,42.7112,219,"COCORAHS","128550"
"MI-NW-8","WHITE CLOUD",-85.6419,43.6063,298,"COCORAHS","128557"
"MS-LW-5","COLUMBUS 5.3",-88.3188,33.4745,92,"COCORAHS","128588"
"NM-GR-33","SILVER CITY",-108.2596,32.8460,2031,"COCORAHS","128601"
"IL-WL-63","NEW LENOX 1.",-87.9603,41.4996,214,"COCORAHS","128608"
"MN-BW-1","SPRINGFIELD",-94.9922,44.2612,322,"COCORAHS","128643"
"ME-SM-10","NORTH NEW PO",-70.0279,44.9235,120,"COCORAHS","128646"
"IN-HR-12","ELIZABETH 1.",-85.9766,38.1462,246,"COCORAHS","128651"
"OR-UM-11","PENDLETON 1.",-118.8079,45.6745,349,"COCORAHS","128660"
"TN-BL-6","PIKEVILLE 13",-85.0452,35.7539,348,"COCORAHS","128676"
"WA-YK-15","COWICHE 1.6",-120.7423,46.6585,554,"COCORAHS","128680"
"GA-DG-4","CHAUNCEY 2.6",-83.0949,32.0791,105,"COCORAHS","128682"
"KS-CR-10","FARLINGTON 0",-94.8206,37.6281,297,"COCORAHS","128729"
"TN-BL-10","PIKEVILLE 5.",-85.2013,35.6850,519,"COCORAHS","128736"
"LA-ST-8","LACOMBE 1.4",-89.9313,30.3282,5,"COCORAHS","128740"
"OH-PT-12","MOGADORE 4.7",-81.3290,41.0085,358,"COCORAHS","128743"
"MS-CR-1","VAIDEN 4.8 W",-89.8307,33.3581,114,"COCORAHS","128751"
"ND-CS-24","FARGO 4.3 S",-96.8204,46.8137,275,"COCORAHS","128756"
"MI-VB-4","PAW PAW 3.6",-85.8619,42.2658,216,"COCORAHS","128767"
"IL-KN-78","GENEVA 1.3 S",-88.3232,41.8644,217,"COCORAHS","128770"
"IL-MCD-7","COLCHESTER 3",-90.7452,40.4624,210,"COCORAHS","128776"
"VA-VBC-13","VIRGINIA BEA",-76.0422,36.7746,4,"COCORAHS","128789"
"NY-SY-6","WATKINS GLEN",-76.9425,42.4177,434,"COCORAHS","128802"
"WA-SG-23","MOUNT VERNON",-122.3886,48.4277,5,"COCORAHS","128809"
"MS-HD-17","CLINTON 2.1",-90.3574,32.3152,85,"COCORAHS","128824"
"ID-AD-20","BOISE 4.8 ES",-116.1565,43.5772,834,"COCORAHS","128831"
"VA-LYC-4","LYNCHBURG 2.",-79.2314,37.3831,217,"COCORAHS","128833"
"VA-CM-3","GLADYS 0.6 S",-79.0741,37.1543,233,"COCORAHS","128838"
"VT-WR-6","LUDLOW 3.4 S",-72.6968,43.3472,526,"COCORAHS","128849"
"IL-GY-10","MINOOKA 0.3",-88.2543,41.4518,182,"COCORAHS","128874"
"WA-TH-28","OLYMPIA 7.0",-122.8230,47.1307,37,"COCORAHS","128876"
"VA-CM-4","LYNCHBURG 6.",-79.0830,37.3567,226,"COCORAHS","128882"
"MT-GV-2","RYEGATE 0.3",-109.2471,46.2990,1112,"COCORAHS","128887"
"MD-AA-39","PASADENA 2.6",-76.5112,39.0916,11,"COCORAHS","128898"
"MN-RM-15","ROSEVILLE 2.",-93.1862,45.0350,280,"COCORAHS","128899"
"IL-CK-163","ARLINGTON HE",-87.9971,42.0819,216,"COCORAHS","128902"
"IL-WL-67","CHANNAHON 2.",-88.1961,41.4025,163,"COCORAHS","128904"
"NJ-WR-8","BLAIRSTOWN T",-74.9385,40.9408,178,"COCORAHS","128905"
"TX-HYS-39","DRIPPING SPR",-98.0451,30.2186,336,"COCORAHS","128918"
"TX-TV-117","AUSTIN 5.9 N",-97.8134,30.3721,218,"COCORAHS","128919"
"CO-DL-25","PAONIA 2.1 S",-107.5748,38.8421,1859,"COCORAHS","128934"
"AZ-YV-22","PRESCOTT 4.4",-112.3863,34.5613,1648,"COCORAHS","128935"
"WA-SG-24","MOUNT VERNON",-122.3249,48.4130,55,"COCORAHS","128946"
"TX-VV-16","DEL RIO 7.8",-100.9413,29.4817,361,"COCORAHS","128949"
"MS-HC-13","KILN 6.6 N",-89.4308,30.5200,36,"COCORAHS","128953"
"UT-WG-9","HURRICANE 2.",-113.2960,37.1576,998,"COCORAHS","128959"
"NY-SY-11","DUNDEE 6.2 E",-76.8558,42.5221,332,"COCORAHS","128972"
"CO-BO-285","ERIE 1.7 WNW",-105.0729,40.0414,1564,"COCORAHS","128978"
"NC-BK-4","GLEN ALPINE",-81.7902,35.7266,385,"COCORAHS","128981"
"VA-GR-3","INDEPENDENCE",-81.1555,36.6047,822,"COCORAHS","128991"
"AZ-PM-143","TUCSON 11.7",-110.7233,32.2543,828,"COCORAHS","128997"
"OH-MY-9","KETTERING 0.",-84.1464,39.6949,304,"COCORAHS","129002"
"WA-OK-11","WINTHROP 3.5",-120.2480,48.4946,873,"COCORAHS","129003"
"NC-BC-32","CANDLER 5.0",-82.7581,35.4876,769,"COCORAHS","129014"
"IL-GY-11","MORRIS 4.8 N",-88.4743,41.4290,180,"COCORAHS","129016"
"NY-LV-5","DANSVILLE 1.",-77.6790,42.5680,459,"COCORAHS","129036"
"MN-CP-1","MONTEVIDEO 0",-95.7203,44.9453,309,"COCORAHS","129050"
"WI-KN-6","KENOSHA 1.7",-87.8566,42.5597,199,"COCORAHS","129056"
"OK-PN-5","ADA 4.0 SE",-96.6071,34.7384,281,"COCORAHS","129077"
"FL-JF-7","LAMONT 7.7 S",-83.8973,30.2925,11,"COCORAHS","129103"
"MD-AA-43","DEALE 0.9 SE",-76.5362,38.7840,2,"COCORAHS","129121"
"OH-LC-10","GRANVILLE 4.",-82.5158,40.1282,340,"COCORAHS","129125"
"PA-MT-51","HARLEYSVILLE",-75.3825,40.2363,72,"COCORAHS","129130"
"UT-UT-19","LEHI 2.0 NNE",-111.8436,40.4306,1463,"COCORAHS","129134"
"PA-BK-26","DOYLESTOWN 3",-75.1982,40.3070,113,"COCORAHS","129145"
"IL-GY-9","MAZON 0.5 EN",-88.4149,41.2418,178,"COCORAHS","129148"
"MN-WR-8","SAINT MICHAE",-93.6659,45.2012,292,"COCORAHS","129160"
"AZ-PM-146","TUCSON 11.8",-110.7438,32.3030,867,"COCORAHS","129172"
"AZ-PM-147","TUCSON 1.3 N",-110.9363,32.2318,751,"COCORAHS","129173"
"AZ-PM-148","TUCSON 5.0 N",-110.9672,32.2806,710,"COCORAHS","129174"
"AZ-PM-145","TUCSON 4.9 E",-110.8363,32.2163,796,"COCORAHS","129175"
"MA-BE-4","BECKET 5.6 S",-73.1321,42.2591,413,"COCORAHS","129180"
"ME-PN-10","LINCOLN 4.3",-68.4359,45.4067,106,"COCORAHS","129182"
"MI-MK-1","LAKE CITY 5.",-85.2553,44.2659,374,"COCORAHS","129185"
"UT-GR-9","CASTLE VALLE",-109.4104,38.6331,1459,"COCORAHS","129208"
"IN-JS-49","DE MOTTE 4.1",-87.2640,41.1668,207,"COCORAHS","129230"
"MN-LS-1","MONTGOMERY 2",-93.5264,44.4490,321,"COCORAHS","129244"
"MD-BL-25","WHITE MARSH",-76.4189,39.3701,15,"COCORAHS","129254"
"ME-YK-28","BIDDEFORD 1.",-70.4347,43.4868,2,"COCORAHS","129256"
"TX-GS-26","FREDERICKSBU",-98.7321,30.3833,561,"COCORAHS","129269"
"CA-SA-29","FOLSOM 0.6 N",-121.1375,38.6823,122,"COCORAHS","129343"
"CO-BO-286","BOULDER 3.5",-105.2576,39.9770,1695,"COCORAHS","129344"
"IN-HR-17","NEW SALISBUR",-86.1170,38.3182,221,"COCORAHS","129348"
"ME-CM-54","WINDHAM 3.9",-70.4620,43.8579,118,"COCORAHS","129350"
"MT-FL-7","PLEVNA 1.6 S",-104.5197,46.3931,848,"COCORAHS","129355"
"OH-UN-4","RAYMOND 3.5",-83.4846,40.3507,328,"COCORAHS","129357"
"SC-WL-2","KINGSTREE 7.",-79.9332,33.7394,22,"COCORAHS","129376"
"TX-GS-28","WILLOW CITY",-98.7712,30.4105,581,"COCORAHS","129395"
"MS-UN-1","NEW ALBANY 5",-88.9813,34.4216,147,"COCORAHS","129396"
"SC-YR-13","TEGA CAY 1.6",-80.9916,35.0271,173,"COCORAHS","129398"
"IL-MCH-49","CARY 0.3 NE",-88.2444,42.2122,247,"COCORAHS","129401"
"NM-CT-7","DATIL 2.0 W",-107.8793,34.1415,2305,"COCORAHS","129416"
"NM-CT-9","QUEMADO 8.0",-108.4088,34.4349,2242,"COCORAHS","129418"
"IN-EL-39","GOSHEN 3.0 W",-85.8834,41.5578,270,"COCORAHS","129427"
"TX-VC-20","VICTORIA 9.7",-96.8310,28.7790,18,"COCORAHS","129437"
"TN-DV-81","ANTIOCH 4.3E",-86.5969,36.0818,168,"COCORAHS","129453"
"ME-WS-10","PEMBROKE 5.4",-67.1268,44.9095,22,"COCORAHS","129501"
"IL-WL-73","WILMINGTON 2",-88.1254,41.2696,174,"COCORAHS","129507"
"TX-BXR-168","HOLLYWOOD PA",-98.4169,29.6201,278,"COCORAHS","129526"
"TX-TV-122","AUSTIN 5.6 W",-97.8392,30.2808,241,"COCORAHS","129529"
"NM-QY-14","HOUSE 0.1 S",-103.9030,34.6459,1433,"COCORAHS","129542"
"ME-WS-11","WHITING 2.3",-67.2177,44.7756,23,"COCORAHS","129557"
"WY-GS-20","TORRINGTON 9",-104.0962,41.9443,1269,"COCORAHS","129576"
"OH-ER-4","CASTALIA 0.9",-82.7925,41.3988,215,"COCORAHS","129585"
"AL-EL-24","MILLBROOK 1.",-86.3851,32.5149,117,"COCORAHS","129591"
"CO-EP-194","COLORADO SPR",-104.8052,38.8437,1849,"COCORAHS","129592"
"SC-SP-31","CHESNEE 3.9",-81.8941,35.0979,232,"COCORAHS","129605"
"FL-MA-10","BRADENTON 10",-82.4152,27.4309,18,"COCORAHS","129617"
"UT-SL-79","SALT LAKE CI",-111.8640,40.7440,1325,"COCORAHS","129622"
"CA-SN-84","BOYES HOT SP",-122.4726,38.3163,90,"COCORAHS","129623"
"CT-NL-5","OAKDALE 2.6",-72.2055,41.4752,173,"COCORAHS","129633"
"TN-UN-3","MAYNARDVILLE",-83.7957,36.2467,384,"COCORAHS","129642"
"NY-WC-7","YORKTOWN HEI",-73.7899,41.2649,174,"COCORAHS","129644"
"OH-WL-5","ALVORDTON 0.",-84.4244,41.6654,253,"COCORAHS","129667"
"KY-TB-5","MILTON 1.7 W",-85.4027,38.7241,265,"COCORAHS","129688"
"CO-RT-26","YAMPA 5.1 S",-106.8929,40.0806,2588,"COCORAHS","129691"
"OH-ER-5","WAKEMAN 4.6",-82.3773,41.3190,244,"COCORAHS","129698"
"AL-TG-11","TALLADEGA 8.",-86.1850,33.5367,146,"COCORAHS","129728"
"ND-ED-5","NEW ROCKFORD",-99.0058,47.6309,466,"COCORAHS","129750"
"OH-LR-8","ELYRIA 0.4 S",-82.0992,41.3763,216,"COCORAHS","129773"
"IL-KX-9","KNOXVILLE 0.",-90.2935,40.9136,236,"COCORAHS","129779"
"CA-LA-23","DIAMOND BAR",-117.7965,34.0232,285,"COCORAHS","129781"
"MN-RV-5","BIRD ISLAND",-94.8188,44.8844,345,"COCORAHS","129793"
"MT-LK-11","ROLLINS 0.5",-114.2078,47.9026,896,"COCORAHS","129814"
"FL-DV-42","JACKSONVILLE",-81.7869,30.2350,21,"COCORAHS","129835"
"KS-HP-3","ANTHONY 0.4",-98.0315,37.1587,415,"COCORAHS","129843"
"IL-KK-21","MANTENO 2.2",-87.8185,41.2225,206,"COCORAHS","129850"
"LA-LN-3","RUSTON 5.5 N",-92.6629,32.6093,55,"COCORAHS","129874"
"NJ-MD-28","NEW BRUNSWIC",-74.4409,40.4896,12,"COCORAHS","129875"
"VA-CR-3","GALAX 6.1 N",-80.9206,36.7535,771,"COCORAHS","129881"
"TX-WH-9","WHARTON 3.1",-96.0697,29.3541,28,"COCORAHS","129914"
"SC-GV-35","GREENVILLE 5",-82.4855,34.8734,289,"COCORAHS","129918"
"AZ-SC-10","TUBAC 2.9 SW",-111.0876,31.5883,1125,"COCORAHS","129921"
"KS-PN-10","LARNED 2.9 W",-99.1534,38.1744,616,"COCORAHS","129925"
"KS-MP-14","GALVA 1.5 NE",-97.5207,38.3982,474,"COCORAHS","129926"
"TX-FN-2","RAVENNA 1.7",-96.2237,33.6542,198,"COCORAHS","129936"
"FL-PN-34","ST. PETERSBU",-82.6546,27.8033,15,"COCORAHS","129963"
"WI-CB-4","PORTAGE 5.7",-89.5691,43.5141,249,"COCORAHS","129985"
"TX-VC-21","VICTORIA 14.",-97.1189,28.6598,32,"COCORAHS","129987"
"SC-BM-1","DENMARK 2.8",-81.1805,33.3392,76,"COCORAHS","129992"
"GA-HT-2","HARTWELL 5.6",-83.0081,34.4041,244,"COCORAHS","130004"
"MT-DW-7","GLENDIVE 2.2",-104.7551,47.1053,642,"COCORAHS","130019"
"NJ-MS-42","RANDOLPH TWP",-74.5432,40.8398,225,"COCORAHS","130021"
"WA-ST-11","EVANS 2.0 NN",-118.0498,48.7369,433,"COCORAHS","130025"
"SC-SL-6","SALUDA 3.5 E",-81.7153,34.0190,124,"COCORAHS","130029"
"SC-GW-8","HODGES 5.5 N",-82.1717,34.3357,135,"COCORAHS","130031"
"MO-GR-74","SPRINGFIELD",-93.3311,37.1499,387,"COCORAHS","130042"
"MT-LK-10","RONAN 4.1 NE",-114.0436,47.5734,1040,"COCORAHS","130047"
"WI-PC-5","RIVER FALLS",-92.6350,44.8403,275,"COCORAHS","130054"
"NC-WK-90","RALEIGH 3.8",-78.6800,35.7700,87,"COCORAHS","130076"
"CT-HR-8","NORTH GRANBY",-72.8207,42.0244,135,"COCORAHS","130114"
"TX-KR-43","KERRVILLE 5.",-99.0641,30.0867,629,"COCORAHS","130152"
"ID-VL-2","YELLOW PINE",-115.4946,44.9627,1450,"COCORAHS","130184"
"MO-LN-4","BROOKFIELD 3",-93.0623,39.8380,254,"COCORAHS","130197"
"IN-JS-54","RENSSELAER 4",-87.1615,40.9977,210,"COCORAHS","130224"
"AZ-PM-160","TUCSON 10.3",-111.0003,32.3531,743,"COCORAHS","130229"
"MO-BN-50","COLUMBIA 0.6",-92.3381,38.9539,230,"COCORAHS","130239"
"WI-RS-1","LADYSMITH 2.",-91.1468,45.4818,347,"COCORAHS","130243"
"WI-MT-3","SCHOFIELD 2.",-89.5959,44.8873,401,"COCORAHS","130274"
"WV-WD-7","WILLIAMSTOWN",-81.4572,39.4028,195,"COCORAHS","130275"
"MD-BL-28","KINGSVILLE 1",-76.3950,39.4489,62,"COCORAHS","130310"
"MI-CP-7","DRUMMOND 2.9",-83.6906,46.0533,176,"COCORAHS","130315"
"AL-TS-17","COKER 0.6 S",-87.6869,33.2370,58,"COCORAHS","130318"
"IA-CN-8","DELMAR 2.3 N",-90.6399,42.0237,247,"COCORAHS","130321"
"KY-WF-6","MIDWAY 0.4 N",-84.6814,38.1548,251,"COCORAHS","130322"
"MN-HN-22","MINNEAPOLIS",-93.3163,44.9289,278,"COCORAHS","130324"
"NC-HW-30","WAYNESVILLE",-82.9738,35.4585,1127,"COCORAHS","130329"
"KS-RN-37","HUTCHINSON 2",-97.9229,38.0341,465,"COCORAHS","130346"
"KS-DK-18","CHAPMAN 6.0",-96.9769,39.0525,370,"COCORAHS","130362"
"MD-BC-3","MOUNT WASHIN",-76.6633,39.3712,117,"COCORAHS","130380"
"ME-HN-7","ELLSWORTH 7.",-68.4920,44.6374,54,"COCORAHS","130382"
"ME-HN-17","ELLSWORTH 8.",-68.5027,44.6463,51,"COCORAHS","130393"
"AL-LS-23","ATHENS 1.5 S",-86.9536,34.7869,210,"COCORAHS","130402"
"IN-MR-72","INDIANAPOLIS",-86.2799,39.7729,240,"COCORAHS","130429"
"TX-BRS-11","TERLINGUA 3.",-103.6300,29.3700,927,"COCORAHS","130439"
"CO-EP-202","FOUNTAIN 1.8",-104.6817,38.6911,1696,"COCORAHS","130445"
"TX-ER-4","STEPHENVILLE",-98.2359,32.2522,410,"COCORAHS","130446"
"TX-BEL-25","KILLEEN 2.9",-97.7326,31.0581,279,"COCORAHS","130464"
"CO-DL-26","HOTCHKISS 7.",-107.8283,38.8578,2012,"COCORAHS","130475"
"CO-GN-50","MARBLE 0.5 N",-107.1906,39.0791,2565,"COCORAHS","130480"
"IN-PT-117","VALPARAISO 5",-87.1044,41.4079,225,"COCORAHS","130485"
"MA-MD-12","ACTON 1.3 SW",-71.4820,42.4675,64,"COCORAHS","130510"
"FL-DV-47","JACKSONVILLE",-81.5818,30.1705,7,"COCORAHS","130523"
"TX-DK-2","DICKENS 1.5",-100.8612,33.6194,745,"COCORAHS","130542"
"IA-PW-4","GRINNELL 0.6",-92.7310,41.7465,309,"COCORAHS","130561"
"NM-SN-39","RIO RANCHO 3",-106.6061,35.2901,1574,"COCORAHS","130565"
"MO-SG-2","STE. GENEVIE",-90.2134,37.8983,249,"COCORAHS","130588"
"KS-SG-65","CHENEY 0.5 N",-97.7777,37.6352,419,"COCORAHS","130593"
"KY-WR-15","SMITHS GROVE",-86.2033,37.0475,197,"COCORAHS","130608"
"FL-WT-13","DE FUNIAK SP",-86.1796,30.7790,59,"COCORAHS","130610"
"TX-FL-2","SOUTH PLAINS",-101.2760,34.2320,973,"COCORAHS","130623"
"TX-LB-2","OLTON 0.2 W",-102.1398,34.1800,1100,"COCORAHS","130624"
"TX-MDL-18","MIDLAND 12.1",-102.0761,31.8522,854,"COCORAHS","130639"
"MT-SW-10","COLUMBUS 8.2",-109.0899,45.6001,1095,"COCORAHS","130659"
"NC-BC-41","ARDEN 1.6 EN",-82.4924,35.4791,695,"COCORAHS","130660"
"VT-CH-15","HUNTINGTON 0",-72.9842,44.3358,217,"COCORAHS","130687"
"KY-AL-17","SCOTTSVILLE",-86.1767,36.8283,232,"COCORAHS","130744"
"NM-RA-22","ESPANOLA 5.4",-106.1517,36.0456,1955,"COCORAHS","130820"
"CA-SR-26","HESPERIA 3.9",-117.3404,34.3725,1091,"COCORAHS","130826"
"KY-CS-4","LIBERTY 1.1",-84.9183,37.3053,334,"COCORAHS","130836"
"MO-GR-75","WALNUT GROVE",-93.4811,37.3589,329,"COCORAHS","130837"
"NM-SF-32","SANTA FE 10.",-105.8644,35.5461,2197,"COCORAHS","130852"
"KS-LC-3","BEVERLY 4.6",-97.9607,38.9477,414,"COCORAHS","130857"
"FL-BK-5","GLEN ST. MAR",-82.2189,30.2370,39,"COCORAHS","130862"
"IL-CK-170","FLOSSMOOR 0.",-87.6905,41.5341,210,"COCORAHS","130865"
"NY-ST-30","CORNING 0.7",-77.0600,42.1573,286,"COCORAHS","130874"
"OH-PT-9","HIRAM 0.4 N",-81.1434,41.3160,354,"COCORAHS","130901"
"WA-KG-143","NORTH BEND 5",-121.6806,47.4669,246,"COCORAHS","130912"
"OH-TR-4","NEWTON FALLS",-80.9721,41.1977,275,"COCORAHS","130913"
"VA-FX-52","MCLEAN 1.5 S",-77.1822,38.9167,90,"COCORAHS","130915"
"KS-HV-9","NORTH NEWTON",-97.3531,38.0797,444,"COCORAHS","130920"
"SC-AN-22","STARR 2.0 SS",-82.6839,34.3505,225,"COCORAHS","130941"
"KS-DK-19","HOPE 0.3 S",-97.0752,38.6868,422,"COCORAHS","130956"
"WI-WD-4","PITTSVILLE 0",-90.1289,44.4412,312,"COCORAHS","130959"
"AZ-PM-176","ORO VALLEY 0",-110.9656,32.3932,774,"COCORAHS","131005"
"NH-MR-25","CHICHESTER 2",-71.4143,43.2115,210,"COCORAHS","131006"
"KS-SG-69","WICHITA 7.4",-97.3761,37.7953,408,"COCORAHS","131015"
"KS-SN-16","TOPEKA 2.1 W",-95.7272,39.0252,286,"COCORAHS","131016"
"IN-MM-4","DENVER 1.3 N",-86.0561,40.8756,233,"COCORAHS","131020"
"TX-WA-10","CHAPPELL HIL",-96.2534,30.1690,76,"COCORAHS","131043"
"CO-OR-13","RIDGWAY 3.3",-107.7700,38.2013,2323,"COCORAHS","131059"
"KY-HY-6","PLEASUREVILL",-85.0820,38.3758,263,"COCORAHS","131065"
"MN-SE-3","ELLENDALE 0.",-93.3037,43.8705,391,"COCORAHS","131066"
"IN-WB-14","LAGRO 1.2 SS",-85.7339,40.8219,218,"COCORAHS","131077"
"NM-SN-43","RIO RANCHO 3",-106.7207,35.2823,1736,"COCORAHS","131081"
"TX-FY-36","LA GRANGE 4.",-96.9324,29.8635,96,"COCORAHS","131084"
"VA-PW-10","WOODBRIDGE 5",-77.3355,38.6991,70,"COCORAHS","131094"
"MI-OD-3","LUZERNE 2.4",-84.2383,44.6414,344,"COCORAHS","131132"
"KY-HY-7","EMINENCE 1.4",-85.1555,38.3515,264,"COCORAHS","131133"
"CO-AD-22","THORNTON 2.3",-104.9382,39.8612,1555,"COCORAHS","131137"
"TX-GV-22","LEAGUE CITY",-95.0898,29.5110,6,"COCORAHS","131158"
"VA-RN-5","ROANOKE 4.3",-80.0200,37.2400,353,"COCORAHS","131169"
"WA-LN-10","ALMIRA 0.2 N",-118.9412,47.7130,583,"COCORAHS","131233"
"NH-MR-26","PITTSFIELD 0",-71.3345,43.2988,176,"COCORAHS","131236"
"TX-CMN-1","DE LEON 4.5",-98.6130,32.0998,399,"COCORAHS","131264"
"NM-RV-10","PORTALES 5.1",-103.3812,34.1128,1246,"COCORAHS","131269"
"PA-BD-6","EVERETT 3.4",-78.4087,39.9757,402,"COCORAHS","131274"
"PA-PH-2","ROCKLEDGE 1.",-75.0748,40.0677,47,"COCORAHS","131277"
"IL-PT-8","WHITE HEATH",-88.4816,40.1367,205,"COCORAHS","131279"
"IL-WL-25","CRETE 2.6 E",-87.5657,41.4468,213,"COCORAHS","131291"
"MA-WR-8","FITCHBURG 1.",-71.8217,42.5667,218,"COCORAHS","131306"
"MN-BW-2","NEW ULM 0.8",-94.4771,44.3217,270,"COCORAHS","131307"
"CA-MD-17","LAYTONVILLE",-123.4898,39.6724,502,"COCORAHS","131320"
"MT-RB-9","MELSTONE 5.7",-107.7488,46.5894,993,"COCORAHS","131339"
"FL-CH-17","PUNTA GORDA",-82.0653,26.9197,0,"COCORAHS","131355"
"MO-MY-2","MIDDLETOWN 3",-91.4613,39.0922,246,"COCORAHS","131366"
"NV-WH-100","RENO 22.2 NN",-119.6445,39.8294,1307,"COCORAHS","131382"
"CA-SN-88","OCCIDENTAL 2",-122.9738,38.3653,187,"COCORAHS","131384"
"CO-BO-290","LAFAYETTE 2.",-105.1288,40.0177,1604,"COCORAHS","131397"
"MT-MH-14","LAVINA 10.6",-108.7172,46.2972,1071,"COCORAHS","131428"
"CA-HM-30","GARBERVILLE",-123.8239,40.0775,126,"COCORAHS","131429"
"ID-SH-1","KELLOGG 0.6",-116.1220,47.5412,700,"COCORAHS","131455"
"MT-CB-9","RED LODGE 2.",-109.2124,45.2213,1701,"COCORAHS","131509"
"CA-SR-27","PINON HILLS",-117.6443,34.4849,1065,"COCORAHS","131520"
"MI-OK-47","BLOOMFIELD T",-83.3177,42.5452,263,"COCORAHS","131544"
